sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-03 23:08:08,-21.1 °,-136 °
2025-03-03 23:09:09,-21.1 °,-136 °
2025-03-03 23:09:29,-21.1 °,-136 °
2025-03-03 23:09:49,-21.1 °,-136 °
2025-03-03 23:10:09,-21.1 °,-136 °
2025-03-03 23:10:29,-21.1 °,-136 °
2025-03-03 23:10:52,-21.1 °,-136 °
2025-03-03 23:11:12,-21.1 °,-136 °
2025-03-03 23:11:32,-21.1 °,-136 °
2025-03-03 23:11:52,-21.1 °,-136 °
2025-03-03 23:12:12,-21.1 °,-136 °
2025-03-03 23:12:32,-21.1 °,-136 °
2025-03-03 23:12:52,-21.1 °,-136 °
2025-03-03 23:13:12,-21.1 °,-136 °
2025-03-03 23:13:32,-21.1 °,-136 °
2025-03-03 23:13:54,-21.1 °,-136 °
2025-03-03 23:14:14,-21.1 °,-136 °
2025-03-03 23:14:34,-21.1 °,-136 °
2025-03-03 23:14:54,-21.1 °,-136 °
2025-03-03 23:15:14,-21.1 °,-136 °
2025-03-03 23:15:34,-21.1 °,-136 °
2025-03-03 23:15:54,-21.1 °,-136 °
2025-03-03 23:16:14,-21.1 °,-136 °
2025-03-03 23:16:34,-21.1 °,-136 °
2025-03-03 23:16:54,-21.1 °,-136 °
2025-03-03 23:17:14,-21.1 °,-136 °
2025-03-03 23:17:34,-21.1 °,-136 °
2025-03-03 23:17:54,-21.1 °,-136 °
2025-03-03 23:18:14,-21.1 °,-136 °
2025-03-03 23:18:34,-21.1 °,-136 °
2025-03-03 23:18:57,-21.1 °,-136 °
2025-03-03 23:19:14,-21.1 °,-136 °
2025-03-03 23:19:34,-21.1 °,-136 °
2025-03-03 23:19:57,-21.1 °,-136 °
2025-03-03 23:20:14,-21.1 °,-136 °
2025-03-03 23:20:37,-21.1 °,-136 °
2025-03-03 23:20:57,-21.1 °,-136 °
2025-03-03 23:21:17,-21.1 °,-136 °
2025-03-03 23:21:39,-21.1 °,-136 °
2025-03-03 23:21:59,-21.1 °,-136 °
2025-03-03 23:22:19,-21.1 °,-136 °
2025-03-03 23:22:39,-21.1 °,-136 °
2025-03-03 23:22:59,-21.1 °,-136 °
2025-03-03 23:23:19,-21.1 °,-136 °
2025-03-03 23:23:42,-21.1 °,-136 °
2025-03-03 23:24:02,-21.1 °,-136 °
2025-03-03 23:24:23,-21.1 °,-136 °
2025-03-03 23:24:42,-21.1 °,-136 °
2025-03-03 23:25:02,-21.1 °,-136 °
2025-03-03 23:25:22,-21.1 °,-136 °
2025-03-03 23:25:44,-21.1 °,-136 °
2025-03-03 23:26:02,-21.1 °,-136 °
2025-03-03 23:26:24,-21.1 °,-136 °
2025-03-03 23:26:44,-21.1 °,-136 °
2025-03-03 23:27:04,-21.1 °,-136 °
2025-03-03 23:27:24,-21.1 °,-136 °
2025-03-03 23:27:44,-21.1 °,-136 °
2025-03-03 23:28:04,-21.1 °,-136 °
2025-03-03 23:28:24,-21.1 °,-136 °
2025-03-03 23:28:44,-21.1 °,-136 °
2025-03-03 23:29:04,-21.1 °,-136 °
2025-03-03 23:29:24,-21.2 °,-136 °
2025-03-03 23:29:44,-21.2 °,-136 °
2025-03-03 23:30:04,-21.2 °,-136 °
2025-03-03 23:30:24,-21.2 °,-136 °
2025-03-03 23:30:44,-21.2 °,-136 °
2025-03-03 23:31:04,-21.2 °,-136 °
2025-03-03 23:31:24,-21.2 °,-136 °
2025-03-03 23:31:44,-21.2 °,-136 °
2025-03-03 23:51:35,-21.2 °,-135 °
2025-03-03 23:51:55,-21.2 °,-135 °
2025-03-03 23:52:15,-21.2 °,-135 °
2025-03-03 23:52:35,-21.2 °,-135 °
2025-03-03 23:52:55,-21.2 °,-135 °
2025-03-03 23:53:15,-21.2 °,-135 °
2025-03-03 23:53:35,-21.2 °,-135 °
2025-03-03 23:53:55,-21.3 °,-135 °
2025-03-03 23:54:15,-21.3 °,-135 °
2025-03-03 23:54:35,-21.3 °,-135 °
2025-03-03 23:54:55,-21.3 °,-135 °
2025-03-03 23:55:15,-21.3 °,-135 °
2025-03-03 23:55:35,-21.3 °,-135 °
2025-03-03 23:55:55,-21.3 °,-135 °
2025-03-03 23:56:15,-21.3 °,-135 °
2025-03-03 23:56:37,-21.3 °,-135 °
2025-03-03 23:56:57,-21.3 °,-135 °
2025-03-03 23:57:16,-21.3 °,-135 °
2025-03-03 23:57:39,-21.3 °,-135 °
2025-03-03 23:57:57,-21.3 °,-135 °
2025-03-03 23:58:19,-21.3 °,-135 °
2025-03-03 23:58:39,-21.3 °,-135 °
2025-03-03 23:58:59,-21.3 °,-135 °
2025-03-03 23:59:19,-21.3 °,-135 °
2025-03-03 23:59:39,-21.3 °,-135 °
2025-03-04 00:00:02,-21.3 °,-135 °
