sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2024-12-12 18:42:18,-0.372 °,-179 °
2024-12-12 18:42:38,-0.373 °,-179 °
2024-12-12 18:42:58,-0.375 °,-179 °
2024-12-12 18:43:18,-0.376 °,-179 °
2024-12-12 18:43:41,-0.377 °,-179 °
2024-12-12 18:44:02,-0.378 °,-179 °
2024-12-12 18:44:21,-0.379 °,-179 °
2024-12-12 18:44:41,-0.380 °,-179 °
2024-12-12 18:45:03,-0.382 °,-179 °
2024-12-12 18:45:23,-0.383 °,-179 °
2024-12-12 18:45:43,-0.384 °,-179 °
2024-12-12 18:46:03,-0.385 °,-179 °
2024-12-12 18:46:23,-0.386 °,-179 °
2024-12-12 18:46:43,-0.387 °,-179 °
2024-12-12 18:47:03,-0.389 °,-179 °
2024-12-12 18:47:25,-0.390 °,-179 °
2024-12-12 18:47:45,-0.391 °,-179 °
2024-12-12 18:48:05,-0.392 °,-179 °
2024-12-12 18:48:25,-0.393 °,-179 °
2024-12-12 18:48:48,-0.395 °,-179 °
2024-12-12 18:49:08,-0.396 °,-179 °
2024-12-12 18:49:28,-0.397 °,-179 °
2024-12-12 18:49:48,-0.398 °,-179 °
2024-12-12 18:50:08,-0.399 °,-179 °
2024-12-12 18:50:28,-0.400 °,-179 °
2024-12-12 18:50:48,-0.401 °,-179 °
2024-12-12 18:51:08,-0.402 °,-179 °
2024-12-12 18:51:28,-0.403 °,-179 °
2024-12-12 18:51:51,-0.405 °,-179 °
2024-12-12 18:52:11,-0.406 °,-179 °
2024-12-12 18:52:31,-0.407 °,-179 °
2024-12-12 18:52:51,-0.408 °,-179 °
2024-12-12 18:53:13,-0.410 °,-179 °
2024-12-12 18:53:33,-0.411 °,-179 °
2024-12-12 18:53:53,-0.412 °,-179 °
2024-12-12 18:54:13,-0.413 °,-179 °
2024-12-12 18:54:32,-0.414 °,-179 °
2024-12-12 18:54:53,-0.415 °,-179 °
2024-12-12 18:55:13,-0.416 °,-179 °
2024-12-12 18:55:35,-0.418 °,-179 °
2024-12-12 18:55:55,-0.419 °,-179 °
2024-12-12 18:56:15,-0.420 °,-179 °
2024-12-12 18:56:35,-0.421 °,-179 °
2024-12-12 18:56:55,-0.422 °,-179 °
2024-12-12 18:57:15,-0.423 °,-179 °
2024-12-12 18:57:35,-0.424 °,-179 °
2024-12-12 18:57:58,-0.426 °,-179 °
2024-12-12 18:58:18,-0.427 °,-179 °
2024-12-12 18:58:38,-0.428 °,-179 °
2024-12-12 18:58:58,-0.429 °,-179 °
2024-12-12 18:59:18,-0.430 °,-179 °
2024-12-12 18:59:38,-0.431 °,-179 °
2024-12-12 18:59:58,-0.432 °,-179 °
2024-12-12 19:00:18,-0.434 °,-179 °
2024-12-12 19:00:38,-0.435 °,-179 °
2024-12-12 19:00:58,-0.436 °,-179 °
2024-12-12 19:01:21,-0.437 °,-179 °
2024-12-12 19:01:41,-0.438 °,-179 °
2024-12-12 19:02:01,-0.440 °,-179 °
2024-12-12 19:02:21,-0.441 °,-179 °
2024-12-12 19:02:43,-0.442 °,-179 °
2024-12-12 19:03:03,-0.443 °,-179 °
2024-12-12 19:03:23,-0.444 °,-179 °
2024-12-12 19:03:43,-0.445 °,-179 °
2024-12-12 19:04:03,-0.447 °,-179 °
2024-12-12 19:04:23,-0.448 °,-179 °
2024-12-12 19:04:45,-0.449 °,-179 °
2024-12-12 19:05:05,-0.450 °,-179 °
2024-12-12 19:05:25,-0.451 °,-179 °
2024-12-12 19:05:45,-0.452 °,-179 °
2024-12-12 19:06:05,-0.453 °,-179 °
2024-12-12 19:06:25,-0.454 °,-179 °
2024-12-12 19:06:45,-0.456 °,-179 °
2024-12-12 19:07:08,-0.457 °,-179 °
2024-12-12 19:07:28,-0.458 °,-179 °
2024-12-12 19:07:48,-0.459 °,-179 °
2024-12-12 19:08:08,-0.460 °,-179 °
2024-12-12 19:08:27,-0.461 °,-179 °
2024-12-12 19:08:48,-0.463 °,-179 °
2024-12-12 19:09:08,-0.464 °,-179 °
2024-12-12 19:09:28,-0.465 °,-179 °
2024-12-12 19:09:48,-0.466 °,-179 °
2024-12-12 19:10:08,-0.467 °,-179 °
2024-12-12 19:10:28,-0.468 °,-179 °
2024-12-12 19:10:51,-0.470 °,-179 °
2024-12-12 19:11:11,-0.471 °,-179 °
2024-12-12 19:11:32,-0.472 °,-179 °
2024-12-12 19:11:51,-0.473 °,-179 °
2024-12-12 19:12:13,-0.474 °,-179 °
2024-12-12 19:12:33,-0.476 °,-179 °
2024-12-12 19:12:53,-0.477 °,-179 °
2024-12-12 19:13:13,-0.478 °,-179 °
2024-12-12 19:13:33,-0.479 °,-179 °
