sep=,
"Time","raw"
2024-12-12 18:42:18,-1.000
2024-12-12 18:42:38,-1.000
2024-12-12 18:42:58,-1.000
2024-12-12 18:43:18,-1.000
2024-12-12 18:43:41,-1.000
2024-12-12 18:44:02,-1.000
2024-12-12 18:44:21,-1.000
2024-12-12 18:44:41,-1.000
2024-12-12 18:45:03,-1.000
2024-12-12 18:45:23,-1.000
2024-12-12 18:45:43,-1.000
2024-12-12 18:46:03,-1.000
2024-12-12 18:46:23,-1.000
2024-12-12 18:46:43,-1.000
2024-12-12 18:47:03,-1.000
2024-12-12 18:47:25,-1.000
2024-12-12 18:47:45,-1.000
2024-12-12 18:48:05,-1.000
2024-12-12 18:48:25,-1.000
2024-12-12 18:48:48,-1.000
2024-12-12 18:49:08,-1.000
2024-12-12 18:49:28,-1.000
2024-12-12 18:49:48,-1.000
2024-12-12 18:50:08,-1.000
2024-12-12 18:50:28,-1.000
2024-12-12 18:50:48,-1.000
2024-12-12 18:51:08,-1.000
2024-12-12 18:51:28,-1.000
2024-12-12 18:51:51,-1.000
2024-12-12 18:52:11,-1.000
2024-12-12 18:52:31,-1.000
2024-12-12 18:52:51,-1.000
2024-12-12 18:53:13,-1.000
2024-12-12 18:53:33,-1.000
2024-12-12 18:53:53,-1.000
2024-12-12 18:54:13,-1.000
2024-12-12 18:54:32,-1.000
2024-12-12 18:54:53,-1.000
2024-12-12 18:55:13,-1.000
2024-12-12 18:55:35,-1.000
2024-12-12 18:55:55,-1.000
2024-12-12 18:56:15,-1.000
2024-12-12 18:56:35,-1.000
2024-12-12 18:56:55,-1.000
2024-12-12 18:57:15,-1.000
2024-12-12 18:57:35,-1.000
2024-12-12 18:57:58,-1.000
2024-12-12 18:58:18,-1.000
2024-12-12 18:58:38,-1.000
2024-12-12 18:58:58,-1.000
2024-12-12 18:59:18,-1.000
2024-12-12 18:59:38,-1.000
2024-12-12 18:59:58,-1.000
2024-12-12 19:00:18,-1.000
2024-12-12 19:00:38,-1.000
2024-12-12 19:00:58,-1.000
2024-12-12 19:01:21,-1.000
2024-12-12 19:01:41,-1.000
2024-12-12 19:02:01,-1.000
2024-12-12 19:02:21,-1.000
2024-12-12 19:02:43,-1.000
2024-12-12 19:03:03,-1.000
2024-12-12 19:03:23,-1.000
2024-12-12 19:03:43,-1.000
2024-12-12 19:04:03,-1.000
2024-12-12 19:04:23,-1.000
2024-12-12 19:04:45,-1.000
2024-12-12 19:05:05,-1.000
2024-12-12 19:05:25,-1.000
2024-12-12 19:05:45,-1.000
2024-12-12 19:06:05,-1.000
2024-12-12 19:06:25,-1.000
2024-12-12 19:06:45,-1.000
2024-12-12 19:07:08,-1.000
2024-12-12 19:07:28,-1.000
2024-12-12 19:07:48,-1.000
2024-12-12 19:08:08,-1.000
2024-12-12 19:08:27,-1.000
2024-12-12 19:08:48,-1.000
2024-12-12 19:09:08,-1.000
2024-12-12 19:09:28,-1.000
2024-12-12 19:09:48,-1.000
2024-12-12 19:10:08,-1.000
2024-12-12 19:10:28,-1.000
2024-12-12 19:10:51,-1.000
2024-12-12 19:11:11,-1.000
2024-12-12 19:11:32,-1.000
2024-12-12 19:11:51,-1.000
2024-12-12 19:12:13,-1.000
2024-12-12 19:12:33,-1.000
2024-12-12 19:12:53,-1.000
2024-12-12 19:13:13,-1.000
2024-12-12 19:13:33,-1.000
2024-12-12 19:13:53,-1.000
2024-12-12 19:14:13,-1.000
2024-12-12 19:14:35,-1.000
2024-12-12 19:14:55,-1.000
2024-12-12 19:15:15,-1.000
2024-12-12 19:15:35,-1.000
2024-12-12 19:15:55,-1.000
2024-12-12 19:16:15,-1.000
2024-12-12 19:16:35,-1.000
2024-12-12 19:16:58,-1.000
2024-12-12 19:17:18,-1.000
2024-12-12 19:17:38,-1.000
2024-12-12 19:17:58,-1.000
2024-12-12 19:18:25,-1.000
2024-12-12 20:16:55,-0.999
2024-12-12 20:21:22,-0.999
2024-12-12 20:25:38,-0.999
2024-12-12 21:40:55,-0.999
2024-12-12 21:41:53,-0.999
