sep=,
"Time","LEXI AZ CMD","LEXI AZ Measure","LEXI EL CMD","LEXI EL Measure"
2024-12-12 21:36:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:36:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:36:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:14,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:54,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:14,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:34,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:54,0 °,0 °,-45.0 °,0 °
