epoch_utc,epoch_mjd,az_earth,el_earth,ra_earth,dec_earth,az_sun,el_sun,ra_sun,dec_sun,az_crab,el_crab,ra_crab,dec_crab,az_sco,el_sco,ra_sco,dec_sco,az_mag,el_mag,ra_mag,dec_mag,az_bonus,el_bonus,ra_bonus,dec_bonus,az_con1,el_con1,ra_con1,dec_con1,[EarthLexiCrab (deg)],[SunLexiCrab (deg)],[EarthLexiSCOX1 (deg)],[SunLexiSCOX1 (deg)],[EarthLexiMagTrack (deg)],[EarthLexiMagTrackFlank (deg)],[SunLexiMagTrack (deg)],[SunLexiMagTrackFlank (deg)],[E2L GSE x (km)],[E2L GSE y (km)],[E2L GSE z (km)],[E2MagTrack GSE x (km)],[E2MagTrack GSE y (km)],[E2MagTrack GSE z (km)],[E2MagFlank GSE x (km)],[E2MagFlank GSE y (km)],[E2MagFlank GSE z (km)],[Con2 Az (deg)],[Con2 El (deg)],[Con2 Ra (deg)],[Con2 Dec (deg)],[Con3 Az (deg)],[Con3 El (deg)],[Con3 Ra (deg)],[Con3 Dec (deg)],[Con4 Az (deg)],[Con4 El (deg)],[Con4 Ra (deg)],[Con4 Dec (deg)],[Con5 Az (deg)],[Con5 El (deg)],[Con5 Ra (deg)],[Con5 Dec (deg)],[ScoX1a Ra (deg)],[ScoX1a Dec (deg)],[ScoX1b Ra (deg)],[ScoX1b Dec (deg)],[ScoX1c Ra (deg)],[ScoX1c Dec (deg)],[ScoX1d Ra (deg)],[ScoX1d Dec (deg)],dec_lexi,ra_lexi,angular_distance_earth,angular_distance_sun,angular_distance_crab,angular_distance_sco,angular_distance_mag,angular_distance_bonus
2025-03-04 01:34:00+00:00,60738.0657060185,254.052,31.213,214.932,-17.766,98.23,19.029,344.578,-6.586,28.971,-69.47,83.632,22.038,247.573,59.712,244.979,-15.64,247.523,40.405,225.516,-21.369,267.396,35.704,218.849,-6.401,243.814,44.592,230.675,-22.836,134.195,100.832,28.828,97.389,10.6,11.99,114.063,124.312,207857.109821413,298522.715118041,22976.3214929587,71765.4452260057,-3895.39419128367,2387.65110517294,9.09494701772928e-13,0.0,76537.62,244.596,43.765,229.635,-22.556,245.358,42.932,228.599,-22.269,246.098,42.094,227.567,-21.975,246.82,41.252,226.539,-21.675,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-21.6,-134.0,11.099933879901156,113.5535531041635,145.15125388211294,18.92897932783406,0.506155746213813,16.69772319738362
2025-03-04 02:34:00+00:00,60738.1073726852,253.967,31.243,215.518,-18.002,98.408,19.509,344.616,-6.57,30.36,-69.222,83.632,22.038,248.096,59.233,244.979,-15.64,247.433,40.433,226.13,-21.572,267.31,35.739,219.408,-6.63,243.719,44.619,231.302,-23.021,134.793,100.791,28.27,97.43,10.6,11.988,113.498,123.761,204964.838030564,300638.191695446,23247.3610140456,71591.6998001405,-3717.99100076396,2379.69593955519,9.09494701772928e-13,-7.275957614183429e-12,76537.62,244.503,43.792,230.259,-22.744,245.265,42.959,229.22,-22.461,246.007,42.122,228.186,-22.171,246.729,41.279,227.156,-21.875,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-21.8,-134.0,10.558655465167092,113.53286922645968,145.1782855099849,18.982061088943396,0.258023958740239,16.452210629300673
2025-03-04 03:34:00+00:00,60738.1490393519,253.883,31.272,216.106,-18.236,98.586,19.988,344.654,-6.554,31.717,-68.963,83.632,22.038,248.605,58.753,244.979,-15.64,247.343,40.46,226.745,-21.772,267.224,35.774,219.968,-6.857,243.626,44.646,231.93,-23.202,135.39,100.75,27.714,97.47,10.6,11.985,112.933,123.209,202053.989020395,302725.655417934,23515.9561876717,71420.7939055519,-3547.07291735767,2370.5179693078,0.0,0.0,76537.62,244.411,43.818,230.885,-22.93,245.173,42.986,229.843,-22.65,245.916,42.149,228.806,-22.364,246.639,41.307,227.773,-22.071,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-22.0,-133.0,10.895703971281879,112.62915346365388,146.12412560840664,18.149466132785477,0.32859336771721825,16.594017619984676
2025-03-04 05:34:00+00:00,60738.2323726852,253.717,31.329,217.285,-18.699,98.946,20.947,344.731,-6.523,34.334,-68.415,83.632,22.038,249.584,57.787,244.979,-15.64,247.167,40.516,227.978,-22.166,267.056,35.843,221.09,-7.305,243.443,44.699,233.191,-23.557,136.583,100.668,26.609,97.552,10.6,11.98,111.805,122.105,196177.711940794,306815.888992426,24045.7078213727,71088.1100723367,-3224.11913290212,2348.53464055271,0.0,3.6379788070917097e-12,76537.62,244.229,43.872,232.14,-23.293,244.994,43.04,231.093,-23.021,245.737,42.203,230.051,-22.743,246.462,41.362,229.012,-22.458,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-22.4,-132.0,10.690013209704007,111.70824094500108,147.09049369550584,17.399914618030827,0.23488382285507,16.497061866494292
2025-03-04 06:34:00+00:00,60738.2740393518,253.635,31.358,217.876,-18.927,99.127,21.426,344.769,-6.507,35.595,-68.125,83.632,22.038,250.055,57.301,244.979,-15.64,247.081,40.543,228.597,-22.359,266.972,35.877,221.653,-7.526,243.354,44.726,233.823,-23.731,137.179,100.627,26.061,97.593,10.6,11.977,111.241,121.554,193212.863447193,308818.339777996,24306.8123297782,70926.6256567704,-3071.79038803303,2335.751040312,1.81898940354586e-12,3.6379788070917097e-12,76537.62,244.14,43.899,232.769,-23.47,244.905,43.067,231.72,-23.203,245.65,42.23,230.675,-22.928,246.374,41.389,229.634,-22.647,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-22.6,-131.0,11.026627756127088,110.8071953464459,148.0303051117098,16.608273278872286,0.443561082533097,16.64930594149831
2025-03-04 08:34:00+00:00,60738.3573726852,253.474,31.414,219.062,-19.377,99.494,22.383,344.845,-6.476,38.02,-67.519,83.631,22.038,250.962,56.325,244.979,-15.64,246.911,40.598,229.839,-22.737,266.807,35.944,222.779,-7.962,243.177,44.779,235.091,-24.069,138.369,100.545,24.973,97.674,10.6,11.971,110.116,120.451,187231.204816842,312737.137492616,24821.3515267588,70614.0718317166,-2784.67820623022,2306.65798181798,-9.09494701772928e-13,0.0,76537.62,243.965,43.953,234.032,-23.817,244.732,43.121,232.977,-23.557,245.477,42.285,231.927,-23.291,246.203,41.443,230.881,-23.018,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-23.0,-130.0,10.818727409956317,109.89067923538157,148.98626335274508,15.921018829289409,0.3019524100977799,16.559649037506535
2025-03-04 09:34:00+00:00,60738.3990393519,253.394,31.442,219.656,-19.599,99.68,22.861,344.883,-6.46,39.186,-67.203,83.631,22.038,251.399,55.835,244.979,-15.64,246.827,40.625,230.461,-22.923,266.726,35.977,223.343,-8.177,243.091,44.806,235.726,-24.234,138.962,100.504,24.433,97.715,10.6,11.968,109.554,119.9,184214.981515124,314653.186022537,25074.7364139027,70463.2687916187,-2649.58755880914,2290.37312820199,0.0,0.0,76537.62,243.879,43.98,234.665,-23.986,244.646,43.148,233.608,-23.731,245.392,42.312,232.555,-23.468,246.119,41.471,231.506,-23.199,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-23.1,-129.0,11.126026840466324,109.02024265153084,149.91150901516443,15.137213868276852,0.5267384449714291,16.633663937726194
2025-03-04 15:34:00+00:00,60738.6490393519,252.932,31.608,223.248,-20.886,100.822,25.725,345.112,-6.366,45.559,-65.144,83.631,22.038,253.822,52.869,244.979,-15.64,246.346,40.788,234.222,-23.978,266.253,36.17,226.744,-9.422,242.596,44.967,239.564,-25.162,142.509,100.257,21.271,97.96,10.6,11.948,106.192,116.596,165780.778612512,325533.716901336,26539.1484736812,69642.7527170852,-1947.57245794596,2169.17155332443,1.81898940354586e-12,0.0,76537.62,243.388,44.141,238.488,-24.941,244.158,43.31,237.415,-24.711,244.907,42.474,236.347,-24.474,245.636,41.633,235.282,-24.23,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-24.2,-126.0,10.464811252479977,106.32352718396658,152.71323568622793,13.397950040159262,0.3005955002001387,16.31833282005323
2025-03-04 17:34:00+00:00,60738.7323726852,252.785,31.661,224.455,-21.297,101.215,26.678,345.189,-6.335,47.461,-64.403,83.631,22.038,254.561,51.872,244.979,-15.64,246.194,40.842,235.485,-24.308,266.101,36.233,227.883,-9.82,242.44,45.02,240.852,-25.448,143.686,100.175,20.252,98.042,10.6,11.941,105.075,115.496,159514.884076558,328922.83956655,27005.440248254,69403.979109203,-1750.99652503786,2120.17013218228,9.09494701772928e-13,0.0,76537.62,243.233,44.195,239.77,-25.235,244.004,43.364,238.693,-25.015,244.753,42.528,237.62,-24.787,245.483,41.687,236.55,-24.551,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-24.5,-124.0,11.10240332148847,104.56669093973498,154.53937639972725,12.223405899336429,0.5067666500370531,16.589749244089358
2025-03-04 18:34:00+00:00,60738.7740393518,252.712,31.688,225.06,-21.499,101.414,27.153,345.227,-6.319,48.374,-64.024,83.631,22.038,254.919,51.371,244.979,-15.64,246.12,40.869,236.118,-24.469,266.026,36.264,228.453,-10.015,242.364,45.047,241.497,-25.586,144.273,100.134,19.75,98.083,10.6,11.938,104.517,114.947,156360.57282547,330572.27725486,27234.3908985881,69291.543140404,-1658.97685433435,2094.12640550555,9.09494701772928e-13,-3.6379788070917097e-12,76537.62,243.157,44.222,240.413,-25.378,243.928,43.391,239.334,-25.163,244.678,42.555,238.258,-24.939,245.409,41.714,237.186,-24.708,241.864,-15.618,248.094,-15.618,244.979,-12.64,244.979,-18.64,-24.7,-124.0,10.555558114083617,104.55874751769015,154.53905372925593,12.36507772438392,0.25470559266952475,16.345097360002587
